#RPLIDAR SCAN DATA
#COUNT=806
#Angule	Distance	Quality
356.4954 293.0 188
359.0771 503.0 188
359.4012 503.0 188
359.7308 503.0 188
0.0439 503.0 188
0.3735 503.0 188
0.7031 503.0 188
1.0272 503.0 188
1.3403 503.0 188
1.6699 503.0 188
1.9995 503.0 188
2.3236 503.0 188
2.6367 504.0 188
2.9663 504.0 188
3.2959 504.0 188
3.6200 504.0 188
3.9331 504.0 188
4.2627 504.0 188
4.5923 505.0 188
4.9054 506.0 188
5.2295 508.0 188
5.5591 512.0 188
6.2018 507.0 188
6.5259 502.0 188
6.8555 504.0 188
7.1851 507.0 188
7.4982 508.0 188
7.8278 508.0 188
8.1519 509.0 188
8.4814 509.0 188
8.7946 510.0 188
9.1241 510.0 188
9.4482 511.0 188
9.7614 510.0 188
10.0909 512.0 188
10.4205 512.0 188
10.7446 512.0 188
11.0138 514.0 188
11.3269 514.0 188
11.6510 514.0 188
11.9806 514.0 188
12.3102 516.0 188
12.6233 518.0 188
12.9529 522.0 188
13.8702 526.0 188
16.1829 514.0 188
16.4520 526.0 188
16.7761 534.0 188
17.8088 520.0 188
18.0780 526.0 188
18.4021 532.0 188
18.6713 536.0 188
24.5270 185.0 188
24.8566 186.0 188
25.4993 185.0 188
22.6044 530.0 188
25.9497 574.0 188
26.3232 570.0 188
26.6528 568.0 188
26.9824 568.0 188
27.3120 566.0 188
27.6196 566.0 188
28.2788 566.0 188
30.1080 596.0 188
30.4321 594.0 188
30.7452 592.0 188
31.0748 592.0 188
31.4044 594.0 188
31.7340 596.0 188
32.0416 598.0 188
32.3273 600.0 188
32.6514 604.0 188
32.9645 606.0 188
33.2941 608.0 188
33.6237 610.0 188
33.9478 612.0 188
34.2773 614.0 188
34.5465 618.0 188
34.8706 620.0 188
35.2002 622.0 188
35.5298 624.0 188
35.8594 628.0 188
36.1835 630.0 188
36.4526 632.0 188
36.7767 636.0 188
37.1063 638.0 188
37.7655 642.0 188
38.9026 588.0 188
39.8859 586.0 188
40.2649 580.0 188
40.5890 580.0 188
40.8582 586.0 188
41.1823 586.0 188
41.5118 586.0 188
41.8414 588.0 188
42.1710 592.0 188
42.4951 590.0 188
42.8247 590.0 188
43.7915 592.0 188
44.0607 712.0 188
44.3903 718.0 188
45.4340 592.0 188
45.7635 594.0 188
46.5601 746.0 188
47.2137 752.0 188
55.8875 150.0 188
57.2168 140.0 188
59.0460 129.0 188
60.5457 135.0 188
60.7654 136.0 188
61.0291 137.0 188
61.3586 137.0 188
62.3419 137.0 188
67.9834 161.0 188
68.3075 161.0 188
68.6371 161.0 188
68.9667 161.0 188
69.3402 160.0 188
69.7302 159.0 188
70.0598 159.0 188
70.4333 158.0 188
70.8234 157.0 188
71.1365 157.0 188
71.4661 157.0 188
71.7957 157.0 188
72.0593 158.0 188
72.3230 159.0 188
72.5922 160.0 188
72.8558 161.0 188
73.1854 161.0 188
73.5150 161.0 188
73.7787 162.0 188
74.0424 163.0 188
